Job,ENG,SerialNumber,Part,Product,Model Group,Elastomer,Model,Job Comment,Location,Last Labor,StartDate,DueDate,AdhesiveDry,Firm,Scheduled,Ship By,Promise,Day,Week,Expedite,Ship Hold,Prod Hold,Group,Order,L/R,Name,Complete,Risk,StalledDays
129449,FALSE,EOGPS667B7D58411,S700584HS0-RELINEPHCBID,S700584HS0,S700,HS,7005840,,Bartels Rack,8/18/2023 12:09 PM,8/15/2023 12:36 PM,8/25/2023,8/19/2023 12:09 AM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55810,1/2,EOG Resources Inc.,FALSE,FALSE,3
129447,FALSE,7005684-134,S700584HS0-RELINEKXCB,S700584HS0,S700,HS,7005840,,Bartels Rack,8/18/2023 12:52 PM,8/15/2023 4:01 PM,8/25/2023,8/19/2023 12:52 AM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55814,1/1,"KLX Directional Drilling, LLC",FALSE,FALSE,3
129611,FALSE,AEP-8757870-S038,S875770F30-RELINEALCB,S875770F30,S875,F3,8757700,"
",QC-IN,,8/18/2023 2:30 PM,8/30/2023,,TRUE,FALSE,8/30/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55843,2/1,Altitude Energy Partners - Consolidated Acct,FALSE,TRUE,
129603,FALSE,AEP-962010-S016,S962860F30-RELINE,S962860F30,S962,F3,9628600,"
",QC-IN,,8/18/2023 2:30 PM,8/30/2023,,TRUE,FALSE,8/30/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55843,3/1,Altitude Energy Partners - Consolidated Acct,FALSE,TRUE,
129466,FALSE,7005684-049,S700584F30-RELINEKXCB,S700584F30,S700,F3,7005840,,Bartels Rack,8/18/2023 2:58 PM,8/15/2023 3:58 PM,8/28/2023,8/19/2023 2:58 AM,TRUE,TRUE,8/28/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55812,1/1,"KLX Directional Drilling, LLC",FALSE,FALSE,3
129448,FALSE,EOGPS667B7D5849,S700584HS0-RELINEPHCBID,S700584HS0,S700,HS,7005840,,Bartels Rack,8/18/2023 3:18 PM,8/15/2023 12:36 PM,8/25/2023,8/19/2023 3:18 AM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55810,1/1,EOG Resources Inc.,FALSE,FALSE,3
129438,FALSE,ST6630013-PTS,S700769HS4-RELINEPHCBID,S700769HS4,S700,HS,7007694,,Bartels Rack,8/18/2023 7:15 PM,8/15/2023 2:47 PM,8/25/2023,8/19/2023 7:15 AM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,5/4,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,3
129471,FALSE,ST6630134-PTS,S700584F30-RELINEPHCB,S700584F30,S700,F3,7005840,,Bartels Rack,8/18/2023 7:31 PM,8/15/2023 2:45 PM,8/28/2023,8/19/2023 7:31 AM,TRUE,TRUE,8/28/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,4/3,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,3
129473,FALSE,ST6630005-PTS,S700584F30-RELINEPHCB,S700584F30,S700,F3,7005840,"
",Bartels Rack,8/18/2023 8:21 PM,8/15/2023 2:45 PM,8/28/2023,8/19/2023 8:21 AM,TRUE,FALSE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55811,4/5,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,3
129472,FALSE,ST6630062-PTS,S700584F30-RELINEPHCB,S700584F30,S700,F3,7005840,"
",Bartels Rack,8/18/2023 9:48 PM,8/15/2023 2:45 PM,8/28/2023,8/19/2023 9:48 AM,TRUE,TRUE,8/28/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,4/4,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,3
129529,FALSE,7005684-055,S700584F30-RELINEKXCB,S700584F30,S700,F3,7005840,,Bartels Rack,8/18/2023 11:07 PM,8/17/2023 9:08 AM,8/28/2023,8/19/2023 11:07 AM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55818,1/1,"KLX Directional Drilling, LLC",FALSE,FALSE,3
129426,FALSE,ST7250225-PTS,S725860HS4-RELINEPHCB,S725860HS4,S725,HS,7258604,,Bartels Rack,8/19/2023 12:37 AM,8/15/2023 2:53 PM,8/24/2023,8/19/2023 12:37 PM,TRUE,TRUE,8/24/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,9/1,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,2
129531,FALSE,7005684-147,S700584F30-RELINEKXCB,S700584F30,S700,F3,7005840,"
",Bartels Rack,8/19/2023 1:34 AM,8/17/2023 9:17 AM,8/28/2023,8/19/2023 1:34 PM,TRUE,FALSE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55821,1/1,"KLX Directional Drilling, LLC",FALSE,FALSE,2
129546,FALSE,70S1730,S700769HS0-RELINEMPCB,S700769HS0,S700,HS,7007690,"
",Bartels Rack,8/19/2023 2:31 AM,8/17/2023 10:03 AM,8/28/2023,8/19/2023 2:31 PM,TRUE,FALSE,8/28/2023,8/28/2023,2,35,FALSE,TRUE,FALSE,RELINES,55828,1/5,MPACT Downhole Motors,FALSE,FALSE,2
129512,FALSE,PIS 684013,S700584F30-RELINEPDCB,S700584F30,S700,F3,7005840,"
",Bartels Rack,8/19/2023 3:54 AM,8/16/2023 11:08 AM,8/25/2023,8/19/2023 3:54 PM,TRUE,FALSE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55815,1/1,Professional Directional Ltd. (TX),FALSE,TRUE,2
129547,FALSE,70S1706,S700769HS0-RELINEMPCB,S700769HS0,S700,HS,7007690,"
",Bartels Rack,8/19/2023 4:46 AM,8/17/2023 10:03 AM,8/28/2023,8/19/2023 4:46 PM,TRUE,FALSE,8/28/2023,8/28/2023,2,35,FALSE,TRUE,FALSE,RELINES,55828,1/6,MPACT Downhole Motors,FALSE,FALSE,2
129463,FALSE,ST5500724-PTS,S500770HS2-RELINEPHCB,S500770HS2,S500,HS,5007702,"
",Bartels Rack,8/19/2023 5:12 AM,8/15/2023 2:40 PM,8/28/2023,8/19/2023 5:12 PM,TRUE,TRUE,8/28/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,1/8,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,2
129514,FALSE,ST5500770-PTS,S500770HS2-RELINEPHCB,S500770HS2,S500,HS,5007702,,Bartels Rack,8/19/2023 5:46 AM,8/15/2023 2:40 PM,8/28/2023,8/19/2023 5:46 PM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,FALSE,FALSE,FALSE,RELINES,55811,1/10,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,2
129464,FALSE,ST5500723-PTS,S500770HS2-RELINEPHCB,S500770HS2,S500,HS,5007702,,Bartels Rack,8/19/2023 7:10 AM,8/15/2023 2:40 PM,8/25/2023,8/19/2023 7:10 PM,TRUE,TRUE,8/25/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,1/9,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,2
129484,FALSE,EOGS5068830,S500688HS0-RELINEPHCBML,S500688HS0,S500,HS,5006880,"
STRAIGHTENING  08/18",CSTRGHT,8/19/2023 9:34 AM,8/15/2023 12:37 PM,9/4/2023,,TRUE,FALSE,9/5/2023,9/5/2023,3,36,TRUE,FALSE,FALSE,RELINES,55810,2/1,EOG Resources Inc.,FALSE,TRUE,2
129462,FALSE,ST5251082-PTS,S500770HS2-RELINEPHCB,S500770HS2,S500,HS,5007702,,Bartels Rack,8/19/2023 10:37 AM,8/15/2023 2:40 PM,8/24/2023,8/19/2023 10:37 PM,TRUE,TRUE,8/24/2023,8/25/2023,6,34,FALSE,FALSE,FALSE,RELINES,55811,1/7,Phoenix Technology Services USA Inc. (TX),FALSE,FALSE,2
129538,FALSE,87S123,S875770HS0-RELINEMPCB,S875770HS0,S875,HS,8757700,"
.
sn updated 8/17 sj",Bartels Rack,8/19/2023 11:55 AM,8/17/2023 10:04 AM,8/28/2023,8/19/2023 11:55 PM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,FALSE,TRUE,FALSE,RELINES,55828,2/4,MPACT Downhole Motors,FALSE,FALSE,2
129535,FALSE,87S036,S875770HS0-RELINEMPCB,S875770HS0,S875,HS,8757700,"
",Bartels Rack,8/19/2023 12:25 PM,8/17/2023 10:04 AM,8/28/2023,8/20/2023 12:25 AM,TRUE,TRUE,8/28/2023,8/28/2023,2,35,FALSE,TRUE,FALSE,RELINES,55828,2/1,MPACT Downhole Motors,FALSE,FALSE,2
